City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
508,Manavalakurichi,IN,77.67,scattered clouds,8.1333,77.3,Jebinrio home
514,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
523,Palmerston,AU,83.89,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
526,Mitsamiouli,KM,76.26,clear sky,-11.3847,43.2844,Foyer ADM
541,Aracruz,BR,76.21,scattered clouds,-19.8203,-40.2733,"Hotel Iramar, Aracruz"
549,Roatan,HN,84.34,few clouds,16.3244,-86.5366,Hotel Henry Morgan
550,Edgewater,US,82.29,scattered clouds,28.9889,-80.9023,Islander Beach Resort
551,Payao,PH,77.25,overcast clouds,10.1833,122.95,Manolita
552,Tadine,NC,79.56,clear sky,-21.55,167.8833,
553,Panguna,PG,75.94,light rain,-6.3164,155.4848,
557,Santa Isabel Do Rio Negro,BR,76.41,overcast clouds,-0.4139,-65.0192,Hotel GSA
558,Sabang,ID,80.19,overcast clouds,5.8933,95.3214,Hotel Citra
560,Parintins,BR,87.3,light rain,-2.6283,-56.7358,Cama e Cafe
565,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
567,Sorong,ID,79.52,broken clouds,-0.8833,131.25,Waigo Splash Hotel
570,Kavaratti,IN,82.18,clear sky,10.5669,72.642,Green leaf
573,Maragogi,BR,76.3,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
574,Mayumba,GA,77.58,scattered clouds,-3.432,10.6554,LIKWALE LODGE
580,Catalina Foothills,US,80.47,clear sky,32.2979,-110.9187,The Westin La Paloma Resort & Spa
584,Nenton,GT,78.78,overcast clouds,15.8,-91.75,Hotel Las Peñas
586,Kendari,ID,75.42,overcast clouds,-3.945,122.4989,Hotel Wixel
587,Balabac,PH,80.91,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
588,Katherine,AU,82.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
