City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
298,Constitucion,CL,-35.3333,-72.4167,58.08,90,60,12.28,broken clouds
299,Eyl,SO,7.9803,49.8164,77.34,70,12,7.81,few clouds
300,Teruel,ES,40.6667,-0.6667,53.37,50,13,6.71,few clouds
301,Ossora,RU,59.2353,163.0719,27.93,66,100,6.93,overcast clouds
302,Harper,LR,4.375,-7.7169,77.45,89,78,5.99,light rain
303,Obihiro,JP,42.9172,143.2044,42.42,86,0,3.94,clear sky
304,Iqaluit,CA,63.7506,-68.5145,15.53,85,75,0.0,broken clouds
305,Xintai,CN,35.9006,117.7519,51.3,65,100,1.3,overcast clouds
306,Winnemucca,US,40.973,-117.7357,60.85,18,0,4.61,clear sky
307,Hobyo,SO,5.3505,48.5268,79.77,77,11,9.93,few clouds
308,Krikellos,GR,38.95,21.1833,58.73,52,2,5.03,clear sky
309,Mersing,MY,2.4312,103.8405,75.11,94,40,5.75,scattered clouds
310,Balykshi,KZ,47.0667,51.8667,35.6,87,75,4.47,mist
311,Homestead,US,25.4687,-80.4776,84.2,75,0,14.97,clear sky
312,Baker City,US,44.7749,-117.8344,56.59,44,100,3.44,overcast clouds
313,Tilichiki,RU,60.4667,166.1,10.53,77,98,6.11,overcast clouds
314,Chabahar,IR,25.2919,60.643,77.79,77,12,1.86,few clouds
315,Kroya,ID,-7.6331,109.2461,75.25,82,100,4.47,overcast clouds
316,Aketi,CD,2.7388,23.7833,70.66,95,100,2.1,overcast clouds
317,Portland,US,45.5234,-122.6762,59.52,93,100,4.61,overcast clouds
318,Nioro,GM,13.35,-15.75,79.3,71,27,5.86,scattered clouds
319,Beringovskiy,RU,63.05,179.3167,16.07,63,16,15.35,few clouds
320,Dallas,US,32.7668,-96.7836,65.48,79,75,13.8,broken clouds
321,Almunecar,ES,36.7339,-3.6907,72.68,81,100,1.48,overcast clouds
322,Rudnichnyy,RU,59.617,52.4703,32.83,98,100,8.72,overcast clouds
323,Cap Malheureux,MU,-19.9842,57.6142,70.47,77,10,1.99,clear sky
324,Goya,AR,-29.14,-59.2626,87.62,38,0,3.8,clear sky
325,Moron,AR,-34.6534,-58.6198,81.95,58,2,7.74,clear sky
326,Port Lincoln,AU,-34.7333,135.8667,60.35,80,96,20.02,overcast clouds
327,Saint-Joseph,RE,-21.3667,55.6167,68.38,80,22,8.9,few clouds
328,Codrington,AU,-38.2667,141.9667,49.73,86,76,7.76,broken clouds
329,Gubkinskiy,RU,64.434,76.5026,19.0,94,96,11.45,overcast clouds
330,Padang,ID,-0.9492,100.3543,76.59,87,100,2.62,light rain
331,Ardakan,IR,32.31,54.0175,70.47,27,83,2.13,broken clouds
332,Necochea,AR,-38.5473,-58.7368,53.89,65,31,9.86,light rain
333,Chor,PK,25.5167,69.7667,77.43,40,1,7.23,clear sky
334,Khromtau,KZ,50.2503,58.4347,26.35,63,75,5.19,broken clouds
335,Duldurga,RU,50.6761,113.5931,26.44,99,89,2.24,overcast clouds
336,Boyolangu,ID,-8.1181,111.8935,72.54,86,99,4.94,overcast clouds
337,Haines Junction,CA,60.7522,-137.5108,19.35,79,100,2.3,overcast clouds
338,Lompoc,US,34.6391,-120.4579,82.02,50,0,17.27,clear sky
339,Lagoa,PT,39.05,-27.9833,63.7,68,100,12.55,overcast clouds
340,Kincardine,GB,56.0667,-3.7167,59.27,93,100,8.66,overcast clouds
341,Haapiti,PF,-17.5667,-149.8667,83.93,76,49,11.5,scattered clouds
342,Usinsk,RU,65.9939,57.5281,32.99,98,100,20.6,light snow
343,Kaeo,NZ,-35.1,173.7833,66.33,97,100,6.35,moderate rain
344,Tankhoy,RU,51.5528,105.1306,31.39,91,100,14.25,light snow
345,Walvis Bay,NA,-22.9575,14.5053,60.1,88,55,4.61,broken clouds
346,Aberdeen,GB,57.1437,-2.0981,54.5,96,100,10.36,overcast clouds
